CA150_0h,CUGBP_0h,ESRP1_0h,FBP11_0h,MAGOH_0h,NOVA1_0h,PRP8_0h,PSF_0h,PTB_0h,RAVER1_0h,RBM17_0h,RBM22_0h,RBM3_0h,RBM45_0h,SAM68TV1_0h,SC35_0h,sf3btv1_0h,SF3BTV2_0h,SKIP_0h,SND1_0h,SRM160_0h,SRSF1_0h,SRSF10_0h,SRSF3_0h,SRSF4_0h,SRSF5_0h,SRSF6_0h,SRSF9_0h,TIA1_0h,TRA2A_0h,TRA2B_0h,U11_0h,U12_0h,U2_0h,U2AF1_0h,U2AF2_0h,U4_0h,U4ATAC_0h,U5_0h,U6_0h,U6ATAC_0h,Class,
16,-0.751902917684762,-0.181861278704445,1.30108766987943,0.175546044623934,0.333335833229034,1.26703787680162,0.046109996659773,1.51631030146721,-0.598568565143928,0.389576715776546,0.580377339733777,-0.1848642122876,-1.09092588553267,-0.446173452043243,-0.149685271468832,1.01276459137438,1.10932589043204,-0.066086276972658,1.68673630867247,-0.428547780642844,0.039094587998788,0.351197355024526,-1.21349306848564,-0.860524217761525,-0.34717956810652,-1.28730579571766,-0.160380411533752,-0.755169872839418,-0.816915654291861,-0.729075003905024,-1.40080296549733,-0.735261239968614,0.566729174079683,0.411068377956536,0.749570219284746,-0.052690502270281,0.670875735603362,0.844333204948579,-1.8677508753426,-2.07173452160661,1.83271770087445,N
18,-0.391679187691275,0.358738829294473,0.605834531327893,-0.112140597818092,-0.551964546038277,1.20344575010707,0.000451746992456,-0.549501927828653,-0.433945588651567,0.156091444614468,0.733645148125847,-0.033678537290426,0.010908147858313,0.002327505134501,-1.1121345537368,-0.584171957393819,-0.546556795118899,-0.944094416440739,-0.196931362224593,-0.215111755399791,-0.271715945177812,-0.283530645612499,-0.866485592153261,0.018651218798307,-0.437614120271529,-0.089710530177189,-0.588343052496082,0.335084986456307,-0.050997708503727,-0.10863963894146,0.037826243947018,-0.30334272830313,-1.16717125390871,-0.164002528886815,0.69261366176861,0.658583038069033,0.698324046637881,-0.008947517602839,0.087591201185351,0.282422993197847,0.92153035597871,N
29,0.298515121869903,0.150248209266714,-0.123411367867367,1.05332093706456,0.65034730801034,-0.025742603380963,-0.342979055195323,0.168862061601286,-0.055169242610624,-0.228189208217072,0.132373044700541,0.221907478344426,-0.520337766396562,0.78263058373699,0.264498084592457,-0.174778936839728,0.354975757805959,0.404012464621998,0.737289019846513,-0.032983892376307,0.024001911447776,0.2916768289143,-0.225776872621204,0.484876114937452,-0.091524525720892,0.698573074362167,0.499966048971788,0.170701598314362,1.1361259829551,1.19973627300729,1.08577295241934,-0.27439803455103,-1.36810524079742,0.553999691957144,-0.256206871462493,0.330909366096154,0.256506726561817,0.234405225450994,0.691838628307025,-0.568938726209689,-0.553488277273218,N
58,0.191145062561231,0.509791174610503,-1.10136673000729,-0.229245549221356,1.05008201609958,-1.20178927426445,-0.397735748554437,-0.555086779910805,-0.122147653160607,-0.107431178529551,-1.29024798625786,0.198108698649627,0.646481275388423,-1.04823001923119,0.393214354966449,-0.345079222707763,0.118534917220215,0.762205937726083,-0.566494626092625,-0.542948967632774,0.079752500964015,-0.349420931756694,0.196164843697571,0.173452020826982,-0.199285151075239,-0.027017376057101,-1.91265215780044,-0.402429571213122,0.04485514483043,-1.31365115855963,0.207812119535848,0.904862612473825,1.19967800623229,1.09760431063665,-0.751306183836776,-0.085026584569682,0.124889340822718,-0.417316457865509,-0.401994090267882,-0.382601742984209,-0.413062583613769,N
69,0.160362926307078,0.33849706614568,0.56130777891191,1.56422726592908,0.802193751402886,0.48081101164228,-0.185623504383119,0.401240384290334,-0.161322029797913,-0.334353239462742,0.385645372541678,0.331814271168369,0.738005542849176,0.754865912803223,0.249184130912292,0.049706133359236,0.322572877590597,0.417313190945454,0.957958580770906,-0.12637459474107,0.233346491448099,1.08719831344377,-0.371730558646173,0.657844696296048,-0.273175936862873,0.531692257610416,0.215904466328232,0.062488765394903,1.51503932922874,1.3580133229651,1.44976397806136,0.238433597080461,-0.829432475546509,0.718766912816319,0.061266759871757,-0.298914389168626,0.464836268641814,0.239070686942749,0.212928416364457,-0.07748653341159,-0.422381095407161,N
74,0.611898905236687,0.150212769352915,-1.26973656667033,0.787153279962711,0.179410940364835,-0.806705035177676,-0.02083034873668,0.960098319514909,-0.122467462900576,0.231097905936768,0.194590748189046,0.172685795744603,-0.19642729245071,1.25725266900574,0.423717230739048,0.738279904643363,0.109901838713972,0.140300747150983,1.389035965184,0.275478603863243,0.147501172972447,0.917117871741229,0.346981073226493,0.446321083982164,0.644918162026621,0.19231713511476,0.652265724613712,-0.291111152390511,0.958560254653316,0.966000202920512,0.708272093726753,-1.10365434327661,-0.89411790605439,-0.003230134416963,-0.727016995845976,0.18012771445094,-0.091287631142406,-0.237017980757576,0.075934385764693,-0.58569769457854,-0.298680831720456,N
128,0.925308371190895,0.928361319537766,-1.19019519045625,-0.198111386149253,-0.325447523466253,-1.37022279008544,0.843746497805557,0.161646148816671,0.21445188203944,0.892627902004322,0.340061008108614,0.337779391184239,0.249959739160774,0.240989719223433,0.330718017573266,-0.719671259678659,0.747559997313272,0.364538872602362,0.593658786938006,0.67138056363243,1.02159444596652,0.413785944891415,0.827688808334742,0.069231507371411,0.843529989919354,1.19634967324485,1.19150665779013,0.893005384521682,-0.332276331889604,0.987513587382338,0.770740040558571,0.726744294995197,-0.364622348730491,1.07478441117071,-0.877283760715865,0.468472315470241,-1.16563418366283,-1.52426856934824,0.728020084689274,-0.393455443066734,0.350555198790765,N
184,-0.376688105889566,-0.072885121438321,-0.658432214738649,0.817945164790673,-0.05229702380881,-1.26075556371603,0.412656185658593,1.601292626675,-0.243923046192065,0.305259810228337,-0.942143143735425,0.032129582285365,0.20353402027731,-0.215821762206761,0.871787381158496,1.09661458214201,2.41428093739661,0.581362578544433,1.72535424342475,0.23914199373241,0.852556461568227,-0.252352336844814,-0.002297077129533,-1.2066996537064,0.074699547119537,-0.944398785086376,0.355456084346058,-0.239092376785038,-0.504730830081679,-0.030913145248834,-1.262555269388,-0.953641445923882,0.855518003030639,-0.380972425097026,0.750948565145397,0.841046228152818,-0.778710836500056,-0.321904137164225,0.752880407620118,0.061626216680971,0.091841913146604,N
191,-0.474618621828933,-0.10887632439422,-1.96256286909442,-0.068898651539477,-0.217524292902911,-0.461505401882021,0.219406430046733,0.459308190208589,-0.251624340813799,0.258628551223729,-1.19031916019443,0.062075699662663,-0.267851553297357,0.007680229987535,0.563556123673436,0.666196339390914,0.834744292252027,-0.083789664401478,0.575358649209573,-0.141444688071698,0.643829039711448,-1.67944968500524,-0.232975996771458,-1.02221000139239,-0.068086883551837,-0.608557959172477,-0.118571579655487,0.077123723312475,-0.316322673376983,-0.998416201095201,-0.933678341186611,-1.08908078700192,-0.017372651750267,-1.12760125067805,0.447747179265272,0.922537741161197,-0.718988451137226,0.711948666226092,0.059674657867928,-0.183426166732267,-0.151348464214072,N
193,-0.429388689935128,0.356960269138032,-0.914569418275031,-1.54125303945763,-0.18354161087525,-0.601643190928988,-0.413957942310079,-0.825338867793378,-0.400939017916886,-0.455327121239036,-0.432661132789675,-0.679296548480331,-0.793489386774745,-1.15028983939179,0.072823731847648,-0.257195445555636,-0.746190777760572,-1.07665758538903,-1.09122575487356,-0.241540905556125,-0.182869205662067,-1.86359242466229,-1.09607348442517,-1.5644996045523,-0.275955673883315,-0.777269280636029,0.229133424928451,-0.56696694710219,-0.971215929954989,-0.793228800650694,-1.32295343044461,-1.71715673466947,-0.716505513111526,-1.71734302191626,0.190084763334571,0.687371686693429,-0.489229472041384,-1.0990931713531,0.084967767770137,-0.649431152753203,-0.589715061259276,N
