Id,CA150_0h,CUGBP_0h,ESRP1_0h,FBP11_0h,MAGOH_0h,NOVA1_0h,PRP8_0h,PSF_0h,PTB_0h,RAVER1_0h,RBM17_0h,RBM22_0h,RBM3_0h,RBM45_0h,SAM68TV1_0h,SC35_0h,sf3btv1_0h,SF3BTV2_0h,SKIP_0h,SND1_0h,SRM160_0h,SRSF1_0h,SRSF10_0h,SRSF3_0h,SRSF4_0h,SRSF5_0h,SRSF6_0h,SRSF9_0h,TIA1_0h,TRA2A_0h,TRA2B_0h,U11_0h,U12_0h,U2_0h,U2AF1_0h,U2AF2_0h,U4_0h,U4ATAC_0h,U5_0h,U6_0h,U6ATAC_0h,Diabetes
16,18752004.73,4462536.592,592735.8511,49066721.81,4978891.153,12485062.66,53623657.24,931125.8142,14155810.43,9465233.434,27164623.37,20744244.07,26268794.25,5516869.098,1150080.362,7727626.998,10227633.27,42749757.52,2149870.035,25998572.35,27059472.57,61126.22967,22307113.51,79575748.19,11988328.92,74710541.41,5600886.106,61677733.89,13101459.38,32170529.07,15148265.92,81027001.47,114811.7671,607037482.2,19729835.09,13269171.87,5312299546,4993735.854,5188700.022,12364442.1,10947933.3,N
18,23393649.44,5997078.615,281035.6839,43364009.26,3089171.499,11096663.74,52504779.63,52902.43968,16127843.62,8510307.932,29160582.92,22352421.08,39243687.64,7051045.089,509586.854,2350769.891,3284888.036,27677730.71,153527.254,29687084.83,23816531.25,31433.38268,25037330.31,131622651.1,11414633.46,120509789,4226532.349,101819893.4,21575284.71,41927857.03,40540761.13,103099871.4,15731.64151,368798206.3,19231062.38,18277783.61,5438980749,2218367.996,23918471.05,99525821.96,4887499.577,N
29,36131803.43,5351614.363,157003.3211,68939468.05,5749273.406,1223109.42,44587736.54,171223.3978,22450603.17,7097063.442,22776025.8,,31885459.36,10033452.05,1651214.503,3300786.89,6627122.985,53128844.62,679653.2848,33203032.34,26895823.43,57271.58443,31639244.21,182087311.2,13771230.18,176773910.8,8157973.906,93731179.49,43810963.03,68179713.98,79980498.8,104852178.1,12606.22754,683580235.1,13292157.79,15801599.63,3743238323,2813412.146,31545866.07,48987043.04,853152.4628,N
58,33736253.12,6512268.574,86247.92329,41154892.89,6788903.196,167302.4039,43404887,52366.08443,21101384.29,7520724.352,15491860.85,25119367.91,52768488.87,3683322.392,1850346.488,2875871.273,5647576.167,62295948.3,72951.54018,24197535.8,27503502.93,29439.43346,37573816.82,145810955,12989438.21,123949264.4,1287374.629,71715662.51,22908654.53,24420568.82,45357688.08,229080240.9,246040.6071,1055872955,11327898,13072397.29,3356611928,1471092.111,18324821.41,57438153.52,1042164.827,N
69,33081469.31,5931177.937,269947.3018,82265208.6,6135309.521,2985344.445,48107278.83,238604.2489,20365277.32,6739499.565,25036427.55,,55374045.25,9920843.718,1629073.044,3931535.171,6488622.717,53448959.05,911247.7436,31355581.58,29223095.23,144488.4471,29917460.7,208240311.3,12479213.94,162064815,6991764.51,88898079.51,54136149.92,71915037.59,100579920.2,143724683.6,22918.36751,782022582.8,14883362.6,11831963.9,4457705136,2826116.588,25436642.41,74171251.38,1028708.683,N
74,44235290.92,5351510.711,78930.35568,62514420.27,4622378.564,322401.4173,51988663.4,492397.2961,21095222.45,8808866.824,23287073.61,24796528.08,36057708.35,12029094.01,1901150.291,6444596.549,5613178.411,47088000.44,1541919.792,40028531.09,28253742.55,117301.9066,40117599.91,176918658.6,20535343.28,137175912.6,8825191.295,75367504.4,39584647.64,62891938.42,62831263.69,66918544.5,21316.5257,425401102.6,11412412.29,14761360.48,2812481781,1766978.533,23779021.69,48285280.02,1218607.863,N
128,54333006.61,8179923.553,82270.44413,41735925.15,3535206.804,126946.7738,75843437.15,169412.5542,29334921.27,11791256.01,24591987.47,26985908.31,43557842.7,7922267.131,1750674.252,2087436.735,8411498.489,52187715.22,555942.5945,50646532.94,39136059.67,65503.19653,50272164.39,136026582.1,22872861.84,234277991.6,11427950.01,138118149.8,18038595.54,63367380.59,65408306.72,200790582.8,38790.21615,1037307020,10906265.37,16804108.17,1212905275,443928.9117,32026766.67,56911771.66,2696079.126,N
184,23611920.86,4736848.211,110922.9606,63239772.43,4107649.023,151854.5875,63193303.29,1019985.331,18928613.92,9111655.116,16748901.6,23099021.47,42658580.05,6287661.993,2843400.93,8155589.179,18111112.69,57523858.91,2240931.012,39163217.13,36852598.39,32430.43077,34586760.73,67165820.25,15070600.22,84793788.83,7552044.413,77165343.12,16125589.78,43267032.35,16697572.93,72234702.3,162144.0354,302783403.2,19742179.68,19793596.06,1630585892,1621531.406,32358737.3,83177403.53,1998993.096,N
191,22224693.49,4644456.065,56646.56567,44196088.34,3756899.975,577679.9541,58016360.61,258446.5347,18802099.98,8920381.314,15830114.28,23448669.5,35060643.07,7070176.048,2153613.247,6136179.165,8834214.46,42392872.63,541559.7922,31066361.93,34153446.32,8814.5285,31550785.65,73393754.62,13947412.73,96710000.76,5746890.62,89530642.11,18224980.93,28431937.72,20998929.06,67411679.6,57850.02732,146998850.9,17313527.38,20504177.78,1707953370,4420187.966,23585007.82,67917002.37,1478699.964,N
193,22854153.99,5991259.285,95573.71214,20705218.5,3827922.085,455366.1038,43058555.57,31220.95433,16569938.97,6348584.615,19086548.47,16373445.52,28965381.82,3399937.728,1395497.471,3089615.921,2691451.251,25826100.36,19802.42386,29205949.82,24716476.93,7574.27364,23177456.07,57114041.2,12460416.36,90439042.4,7043835.422,66764292.84,11795552.51,31253460.3,16003324.12,49876623.84,26020.43003,78597413.71,15624838.04,18510198.33,2044969009,714462.9267,23887061.11,45699068.35,808976.4316,N
