CA150_0h,CUGBP_0h,ESRP1_0h,FBP11_0h,MAGOH_0h,NOVA1_0h,PRP8_0h,PSF_0h,PTB_0h,RAVER1_0h,RBM17_0h,RBM22_0h,RBM3_0h,RBM45_0h,SAM68TV1_0h,SC35_0h,sf3btv1_0h,SF3BTV2_0h,SKIP_0h,SND1_0h,SRM160_0h,SRSF1_0h,SRSF10_0h,SRSF3_0h,SRSF4_0h,SRSF5_0h,SRSF6_0h,SRSF9_0h,TIA1_0h,TRA2A_0h,TRA2B_0h,U11_0h,U12_0h,U2_0h,U2AF1_0h,U2AF2_0h,U4_0h,U4ATAC_0h,U5_0h,U6_0h,U6ATAC_0h,CA150_4h,CUGBP_4h,ESRP1_4h,FBP11_4h,MAGOH_4h,NOVA1_4h,PRP8_4h,PSF_4h,PTB_4h,RAVER1_4h,RBM17_4h,RBM22_4h,RBM3_4h,RBM45_4h,SAM68TV1_4h,SC35_4h,sf3btv1_4h,SF3BTV2_4h,SKIP_4h,SND1_4h,SRM160_4h,SRSF1_4h,SRSF10_4h,SRSF3_4h,SRSF4_4h,SRSF5_4h,SRSF6_4h,SRSF9_4h,TIA1_4h,TRA2A_4h,TRA2B_4h,U11_4h,U12_4h,U2_4h,U2AF1_4h,U2AF2_4h,U4_4h,U4ATAC_4h,U5_4h,U6_4h,U6ATAC_4h,Diabetes
449,32539981.2,7588049.872,296004.1985,32264957.55,1382918.632,1825249.891,78759857.82,334.09114,27176144.39,6189808.598,29083193.84,27609405.8,45065158.51,8332054.319,1667183.208,968801.3094,220594.4596,65734733.21,22145.49666,45217632.23,27079411.78,51970.12436,27770572.65,118952944,10568063.16,159255415.2,3072607.892,79947902.1,19521884.19,35381354.43,20311033.73,284579561.8,3832.88095,614719649.8,10306139.03,11595702.62,10046698289,828186.7751,21037805.6,100924761,2068624.85,32428677.13,5453463.23,94020.02,47687682.44,1951136.53,369028.65,67034911.31,702.81,27921955.98,7544060.52,21295098.68,32437098.88,43092187.34,7791239.92,1918544.7,1786967.99,226270.62,40745839.69,149577.65,40741513.64,29295655.43,14135.47,28392911.16,165415043.5,13825870.13,167511169.8,4499005.84,101053632.8,24726455.9,58418561.31,49328222.27,410594084.9,14611.26,293228683.3,9876895.79,13545473.64,3961006665,1345220.24,26413179.62,50594664.89,797372.13,N
525,66280958.58,6402933.779,485908.8109,77558884.87,1072245.437,2656562.365,97026930.2,11880.05096,49384118.69,6871769.955,17615546.07,20026394.48,66484382.81,4284223.966,2645723.357,8784797.247,1006178.667,79315211.58,472381.7555,97492227.92,25601686.33,32105.6892,61231559.45,406057742.4,16022108.85,196638429.6,2366652.561,122618760.5,23734604.32,61857030.95,73732994.03,417900256.2,39243.86843,783475218.4,8543875.24,9908650.319,8235029158,2376193.57,3333383.869,12242823.75,248051.6501,74447365.14,8567665.2,126931.59,140731831.8,3356335.41,629315.64,84472224.57,413019.06,49836578.31,7664776.57,21068904.01,27299489.07,69721540.56,7089748.21,5496162.76,18230038.59,1422835.94,115223740.3,1079623.95,85698698.31,29089865.77,32592.18,65830264.87,465305050.5,24950635.73,198066453.9,3093145.15,144767419.6,54744917.24,79730303.94,87017116.28,297007973.4,67245.71,69390600.31,9349007.15,8656404.33,2571334939,1222194.89,3595673.78,10429827.32,210179.32,N
602,180517866.9,15197620.55,669024.8182,123479355.5,5371315.818,22833368.05,95274505.2,6585.11846,73677220.94,21518902.95,107737145.3,90382014.72,180506537.1,22195510.02,,,186620.2032,83730332.67,56029.46394,157134902.8,23940840.22,448769.3232,147489436.8,2133444651,98021907.79,970019512.9,24682656.97,578575277.7,95265276.93,120823544.2,214256253.2,799515761.2,627485.1845,135131123.7,25485098.68,13377945.1,9690843209,14458926.26,35949490.56,94567678.09,2182158.328,88257368.11,8579425.67,361981.41,150696325.3,2816255.3,5658850.97,105024794.4,21102.25,48211537.03,11623377.61,52587417.12,70201922.69,130230724.1,20578341.59,5357311.64,17260430.03,467865.39,104275408.8,370405.76,99751605.63,25475696.91,54990.26,116750313.5,975352490.9,50269426.21,431319068.1,12562309.12,263325525.3,58510961.64,60207174.68,94409692.04,435765829.1,219561.7,350825033,9315908.35,8484409.99,8533479143,6450050.33,17683794.93,51060596.23,1302063.48,N
757,10507523.21,2795030.616,258605.1683,30499895.49,2356776.743,6451193.982,38049072.61,36109.42006,11054620.01,4412978.534,16729287.15,14659809.73,25987959.43,4137910.762,440801.3551,1255583.78,3656632.492,23896807.99,144187.738,23724408.43,17682553.33,27999.27993,19223037.53,64900760.79,7349544.3,79892364.25,3809225.103,54275234.89,11420065.07,14872002.83,22391796.22,86588628.87,23620.46951,302075160.4,8782621,9077949.724,2294403448,2293085.174,8886502.931,86440490.14,3935853.002,24532180.56,6881137.88,97710.2,37103247.71,4023140.28,304826.03,59542694.48,96951.49,20052259.76,11432080.79,20069468.51,19707024.12,43122345.35,6265209.02,1384022.68,1550696.97,3148543.62,30970667.07,110492.76,32631760.87,29029599.19,11264.93,30112912.46,92134932.2,16469032.24,120760749.8,6622544.75,62900699.66,22659424.07,38124335.52,41629733,62566151.35,24927.46,276254278,14511398.42,17534136.62,1582190442,524689.63,25195985.57,68558314.38,1531415.67,N
766,14057603.91,2286765.64,354670.8319,25012567.92,2447546.064,10816539.45,38102857.96,67329.02992,11234323.84,5764166.473,26719908.82,14948869.28,34811068.76,2771936.353,569801.3271,748609.4708,4758239.317,26437041.63,156460.099,21232610.38,13643392.64,61106.22739,27681975.12,70836672.68,8415773.845,102259109.3,5608386.589,70906769.73,7219266.441,27276907.08,25139569.7,79112714.78,37724.42959,1140996228,13235229.6,10499350.2,2393308536,2863662.845,18335886.94,91228271.85,4645420.259,16745045.17,3615267.17,85472.94,44038052.87,2264755.21,1292790.95,48300444.41,140142.1,15053258.31,5671775.28,17590979.02,17042914.56,31808431.82,5845839.38,902129.88,1357819.2,4586920.5,35706916.66,324209.45,26475141.88,27117936.66,11124.36,21952395.82,70455863.96,10947737.2,83126620.55,5046997.81,61999626.9,18736024.42,27924543.38,30101616.39,47478612.2,19355.68,191906127.5,10182079.96,12689920.38,1410557762,1385277.8,18947845.16,37882224.02,1362390.44,N
778,16114016.12,3682331.193,224216.7148,23518217.25,3522586.482,4394069.237,31257503.99,17522.18964,13717954.89,5371998.237,25421930.74,13390928.88,29007292.29,4715355.217,649804.1492,774788.0083,1565837.139,22055805.71,25069.36866,19103833.56,17391436.25,11341.34514,22138023.04,84994020.43,11053315.43,112076615.3,4815488.024,56007795.75,13860377.5,19135807.03,26687241.24,60072943.82,13387.7296,75788328.55,11806459.99,10629992.9,2120885477,1128993.471,17326901.49,45262178.11,2411167.48,17545417.44,3901723.53,152831.82,30721849.91,2267193.77,342065.21,48304559.08,91417.53,14133071.47,6152252.66,18130292.06,16649733.03,29844130.05,6027746.4,553472.8,1162928.05,4187687.47,35594487.94,216239.59,21962122.42,22046274.45,17673.64,25288768.68,62823137.46,11055350.15,109220659.6,4382815.73,64008407,14127515.88,30150838.43,23282638.59,99586213.19,44633.58,358667360.9,9065044.86,11704332.1,2401942548,687924.61,20481643.04,43555542.44,1528138.46,N
784,6107353.791,4207055.981,132898.3365,15928743.14,1607353.926,8738720.174,26332001.92,15104.27244,7617482.59,6262275.001,20063421.41,20909136.55,18713700.57,1278792.839,433314.0862,290404.3706,71073.24803,14573092.73,2893.58615,11519199.71,12783030.64,10906.67546,16629350.82,39675339.27,18529631.78,145063370.1,3772974.339,60227137.99,4659058.448,31941832.78,10237992.67,36860403.01,8141.74519,483614065.3,22396556.7,18428560.36,402823788,2944588.734,20860540.76,92379456.71,1896321.699,19582654.37,3789404.12,97855.39,44958451.62,3165334.26,660794.11,53000120.26,301652.96,15695446.75,6526994.16,16413015.12,19784833.74,42231681.88,8015257.61,1131370.8,1907037.94,7760447.99,38059200.12,764654.32,27266213.42,28754799.81,20477.55,27467417.88,82045547.8,12897862.2,106006840.7,5082668.33,61836302.69,17035436.83,28485953.13,33047094.86,51833584.01,20342.76,326239072.8,9871588.46,11603326.29,1295132589,1209151.5,19195309.23,44623066.62,1388825.87,N
819,18736446.61,3679148.361,89824.15242,46267523.45,2966129.577,132964.0564,39994224.02,20752.44687,15022989.42,6886239.179,15806073.86,18254271.47,46398253.97,6815108.925,530537.7879,2566196.08,4928034.67,23374138.98,167056.3154,33867209.81,18328404.3,19929.75933,29357158.37,111612985.2,12671303.64,162828634.6,6202856.184,106443173.5,16716392.26,36814770.26,45478042.4,225948829.1,125832.9377,427440214.4,14622957.54,14953347.94,3415604726,1364169.597,19410587.82,101053480.4,4290148.043,63849829.84,17215456.32,716847.13,42994049.78,2516717.93,6493068.89,88191977.76,31756.94,35580660.91,12494758.52,73798276.59,32799830.93,98985573.32,3196187.6,1886390.63,3365029.55,6553114.2,90657025.47,,76959620.63,40753267.64,120361.81,59522586.3,214945231.6,18921315.94,416339362.4,2789423.01,131070217,22623150.69,32830884.02,30609335.63,171133032.3,243969.08,146118796.7,25394300.64,32664827.81,6829910645,2968727.59,9503747.09,153518835.5,4210026.62,N
843,17531564.61,4124994.384,218120.0882,33964317.68,3519308.338,3256367.353,43595057.94,268391.2445,14666008.78,6649764.604,18088269.27,18431676.37,27575746.3,4158481.707,836227.2944,1887686.792,5646186.379,36692973.02,327282.2532,26427008.01,19346823.76,20000.09608,28540889.79,78655702.04,12032539.47,139370793.5,7601969.914,65333402.81,14663719.04,25100331.86,30406106.73,75187361.58,52139.61752,150586310.6,13302757.88,12928308.54,1656537251,2199560.097,20061064.01,66476320.54,3171457.567,16074383.12,3615097.44,103255.57,41234348.51,3040212.48,62155.42,40854287.12,326364.09,15319008.45,5402524.6,15202556.66,16100447.79,25398979.88,4777158.56,956015,1545925.06,6236379.48,34550936.65,504480.84,30799575.27,20401443.6,16334.58,27864566.05,67604182.43,11261192.46,86970565.47,5022445.67,66160378.18,15156348.94,26220205.05,28298151.43,49750522.55,26046.87,211477185.9,10657304.12,11599612.09,816062015.6,1201284.72,17609793.05,41345536.05,1681877.28,N
862,22615201.36,3638422.444,456329.5789,40274030.05,3553293.282,18013927.89,42828706.73,335491.7859,14950513.54,6319576.68,29515114.87,15108973.47,32480573.89,6281373.518,664068.9843,3746358.636,6605488.486,51272547.66,358322.2602,19983962.56,21913704.36,45835.4657,26686708.82,113923123.9,11004084.22,116750448,5062757.425,68046518.96,13798214.57,28295935.46,26018837.63,145575631.7,132685.886,554599922.6,12443347.06,9730087.906,2258851950,5742765.223,13495350.65,258103505.7,9882716.56,37436898.57,5832341.22,161328.09,48586123.83,4177779.97,140785.06,69987984.2,1302993.8,21445303.03,9671685.23,20556831.99,19380332.54,36483113.43,6830543.69,1330798.04,3607734.12,11037089.2,61033171.65,2009423.22,34095574.37,30966107.77,55004.56,39343467.47,79476438.6,14920081.08,111041327.8,7272129.84,71849446.21,13112488.48,50458036.94,29989244.97,67159468.6,84033.96,1295830789,10113610.18,12745032.01,2226699641,2880443.34,36360344.62,118340386.7,3819634.45,N
913,4654032.08,5805699.851,803555.8643,22448629.4,1032032.736,21566026.36,24267842.41,12214.08912,5185463.679,6617858.744,31830363.74,32743177.19,11935719.85,337529.2359,83736.43981,354094.2274,4110982.775,35421079.74,57304.3702,3513963.818,10726916.05,299644.9659,14003692.4,55194692.87,13801120.71,93570034.49,846162.4365,89082202.06,4530465.205,34905091.7,6636509.872,74903378.2,11917.13344,2090661791,27131714.08,11507065.11,11238698124,2189775.154,15326031.27,167398658.7,5621661.366,40217739.83,8522252.2,180765.91,48924836.9,3593818.12,868626.41,63563060.56,149587.66,25020105.91,11521252.79,24402095.02,30648337.79,36779088.73,8653757.22,1172946.98,2125247.42,4722606.55,35336195.56,221575.04,59143694.27,31352188,36287.93,39173640.96,142065399.7,18805012.12,152585410.6,7280725.24,126562224,27069175.13,49331053.1,48041857.11,172313553.9,28653.18,346426337.8,19722417.65,21609024.73,3024342197,1460367.36,47722962.49,56361313.61,1731602.65,N
960,125541851.6,20301631.81,812841.2799,67712432.88,5617558.281,3059984.013,145561816,8698.20479,52757786.59,24117305.51,83577846.59,39718444.23,113403753.9,6971873.674,3502724.292,10705622.83,10095683.96,116517033.4,,88233785.94,72393802.86,97808.89499,103531221.4,307498422.7,34448905.28,521611554,4252761.835,158159754.3,32761907.26,51423456.44,51684630.84,342520591.3,417694.9073,176462771.1,26905571.99,55007406.17,13730381014,4525691.428,9615438.315,229215311.1,9429704.607,59720070,7679015.52,87121.79,49708193.76,10414208.64,16359.49,85196262.6,38481.96,26555766.91,13624127.08,22857480.22,35002896.48,45604406.71,6263198.3,2301412.26,5488773.25,7282915.39,75841786.12,63459.5,27179412.01,37548111.84,39673.38,56068495.39,201148677.6,18511882.68,142062675.1,2244726.86,70390433.05,29681633.27,43199033.03,54803886.11,106909637.5,43316.1,392092284.8,13176821.04,17427396.04,3034231006,309112.8,33290606.13,71131113.76,1199353.02,N
969,31156871.35,4920464.483,112270.8476,49693852.16,6129486.213,491558.6405,62554642.73,509661.2726,22989129.71,10021374.99,24490079.22,30820954.67,48166495.28,10399968.45,1838669.009,5937799.587,8514047.943,77630052.73,1065726.59,25338696.95,28567240.05,51527.69153,44378440.25,140374283.8,22901526.34,145083518.3,10476360.51,83474869.89,23814347.93,45975262.58,36375610.76,74384284.62,59407.40037,474692450.1,11674101.19,14612554.05,1516440534,4255296.11,27314832.13,139809027.9,4627083.643,23759913.09,3665093.02,344904.99,44465584.96,2767514.03,9267962.73,55773775.72,127563.71,18365219.57,8484519.47,29119291.1,22255611.71,27350181.29,5817979.27,683418.95,4585530.52,6031321.9,53805668.45,326147.52,16824275.61,24762030.51,66558.49,29373984.82,97131430.74,13069233.39,94549926.24,4914830.3,66199341.15,16470167.29,29222217.73,21547907.45,60055933.89,26062.95,471891887.1,10787967.22,11504832.6,2062529828,2794864.28,13668415.64,192527599,7330491.1,N
1066,158000286.7,28817254.89,1054307.458,85052443.85,6854011.224,1067584.715,160712668.7,177.69188,84863939.9,31184919.13,97153452.52,70496131.81,159757872.2,8086010.103,6211050.699,6166706.265,4722876.923,145580089.3,,197589733.4,87404126.12,76478.64883,110652743.2,625964523.3,41917345.13,798607331.3,7771714.02,291958965,65259459.02,57209285.6,82929565.24,549039212.8,812506.8751,74740390.5,39336629.82,73682491.46,14761983761,10033714.36,20860763.99,317453924.3,8955141.832,41322343.96,10098968.89,70676.67,43878322.61,7181805.35,20115.93,50875397.61,56730.27,26854254.03,8870413.85,18879582.6,31956873.3,61557118.64,3776227.15,2161114.4,4451816.41,6075575.38,70623604,112681.98,28914696.7,30687297.07,11766.63,48769844.06,228522973.1,12927071.74,161702607.6,2104904.3,67704717.28,32014379.71,42731976.85,48564181.93,192870455.4,272802.9,450079542.3,15121738.17,16345006.98,3561998003,1501676.46,23909726.72,91698928.72,1191682.9,N
1117,43975911.55,6898598.558,124192.5306,56331116.03,5634041.977,739729.0644,72507241.23,155897.4655,1996445544,9968613.011,27757505.75,28462959.45,52361018.62,8624160.613,1654024.064,6088996.039,7065108.051,56309245.98,5698.50248,40434744.04,29741029.83,32130.42797,39217314.26,133301075.6,20266669.95,137071592.6,7574881.345,92150383.9,28826271.81,65000314.4,60092463.3,113106233.6,1465234.637,293039356.2,13655238.46,14901300.14,2616880778,,21784929.62,73170776.48,145003.2787,27486874.21,5443442.3,73287.81,38179034.76,3782724.38,363293.84,51862594.5,198390.04,17350965.18,8504667.61,16852863.1,21506014.32,47118056.74,4994880.65,999521.83,5223798.49,7893298.54,51503171.17,502550.94,22357452,30397562.94,13561.35,32722619.14,82565190.81,15565331.03,83104230.14,7108066.38,39951389.81,17073254.1,30157774.5,43932256.26,234794686.3,121694.1,447336783.4,12997706.48,15098380.4,1034932455,1565037.3,32029276.95,93697599.96,2849172.9,N
1149,26481720.28,4863339.013,192651.3646,53672151.25,4677593.193,2226491.836,56640748.57,169459.9903,18698699.22,8553486.54,20715986.59,24709154.31,38770746.93,6122109.958,1068154.587,5210386.271,7094521.009,57809909.79,407034.1935,23683773.34,28009009.98,53024.00253,34908410.98,120907104.6,12975832.1,111748872.3,6895736.596,70916788.52,23199092.3,39174091.95,43813425.27,123502786.1,55101.80716,199484086,24012706.72,13019054.34,1722314740,3106969.786,23555154.96,93248911.97,2499573.108,30170445.68,5126318.56,97350.85,52000354,3722505.56,896485.14,56754581.81,168240.95,19757442.97,7478520.23,18756816.86,23160950.19,31502288.53,6003312.24,1116234.46,6678261.72,9430897.29,50070312.26,389383.32,24039366.42,31146329.09,42678.43,28134491.66,94059491.41,14154598.6,116412309.4,6451108.94,67152258.62,22053448.96,33065434.28,43807775.6,93151197.94,38196.48,212146939.9,22494625.28,15301752.79,1312607634,2010792.58,25428146.26,77249679.17,2916767.15,N
