CA150_0h,CUGBP_0h,ESRP1_0h,FBP11_0h,MAGOH_0h,NOVA1_0h,PRP8_0h,PSF_0h,PTB_0h,RAVER1_0h,RBM17_0h,RBM22_0h,RBM3_0h,RBM45_0h,SAM68TV1_0h,SC35_0h,sf3btv1_0h,SF3BTV2_0h,SKIP_0h,SND1_0h,SRM160_0h,SRSF1_0h,SRSF10_0h,SRSF3_0h,SRSF4_0h,SRSF5_0h,SRSF6_0h,SRSF9_0h,TIA1_0h,TRA2A_0h,TRA2B_0h,U11_0h,U12_0h,U2_0h,U2AF1_0h,U2AF2_0h,U4_0h,U4ATAC_0h,U5_0h,U6_0h,U6ATAC_0h,CA150_4h,CUGBP_4h,ESRP1_4h,FBP11_4h,MAGOH_4h,NOVA1_4h,PRP8_4h,PSF_4h,PTB_4h,RAVER1_4h,RBM17_4h,RBM22_4h,RBM3_4h,RBM45_4h,SAM68TV1_4h,SC35_4h,sf3btv1_4h,SF3BTV2_4h,SKIP_4h,SND1_4h,SRM160_4h,SRSF1_4h,SRSF10_4h,SRSF3_4h,SRSF4_4h,SRSF5_4h,SRSF6_4h,SRSF9_4h,TIA1_4h,TRA2A_4h,TRA2B_4h,U11_4h,U12_4h,U2_4h,U2AF1_4h,U2AF2_4h,U4_4h,U4ATAC_4h,U5_4h,U6_4h,U6ATAC_4h,Diabetes
16,18752004.73,4462536.592,592735.8511,49066721.81,4978891.153,12485062.66,53623657.24,931125.8142,14155810.43,9465233.434,27164623.37,20744244.07,26268794.25,5516869.098,1150080.362,7727626.998,10227633.27,42749757.52,2149870.035,25998572.35,27059472.57,61126.22967,22307113.51,79575748.19,11988328.92,74710541.41,5600886.106,61677733.89,13101459.38,32170529.07,15148265.92,81027001.47,114811.7671,607037482.2,19729835.09,13269171.87,5312299546,4993735.854,5188700.022,12364442.1,10947933.3,18720588.2,3951613.94,155764.43,31559634.19,8470265.82,2085916.61,46313079.92,126298.3,14628720.69,6690628.3,17481323.16,17949799.67,35238108.65,5992651.84,1451660.48,5478674.01,4840104.24,32506583.79,505462.25,28715091.7,26177586.3,17907.6,26368950.87,88359756.82,12730589.54,87168238.41,5769361.64,65380489.49,18514750.53,29643787.4,19936487.37,102854575.3,139073.38,484452756.5,15770858.57,16414466.9,2331400986,5176641.36,6090503.58,8894075.81,3250216.23,N
18,23393649.44,5997078.615,281035.6839,43364009.26,3089171.499,11096663.74,52504779.63,52902.43968,16127843.62,8510307.932,29160582.92,22352421.08,39243687.64,7051045.089,509586.854,2350769.891,3284888.036,27677730.71,153527.254,29687084.83,23816531.25,31433.38268,25037330.31,131622651.1,11414633.46,120509789,4226532.349,101819893.4,21575284.71,41927857.03,40540761.13,103099871.4,15731.64151,368798206.3,19231062.38,18277783.61,5438980749,2218367.996,23918471.05,99525821.96,4887499.577,27578508.2,5893841.04,131432.24,36505406.88,5014790.67,502649.09,40342023.52,74427.61,21568915.14,8272086.69,19896323.56,21985331.69,38286349.01,6642983.9,1204842.86,1988923.54,3205860.74,27312562.56,117431.75,47189409.63,26035353,53114.71,27233231.2,108201083.8,15493078.53,147112477.6,7616029.92,104078335.8,22281513.02,50973062.7,34475839.17,159375958.5,161270.67,270953187.7,19438401.71,18788417.76,3022873734,5577892.66,36788549.99,54351308.93,1736810.87,N
29,36131803.43,5351614.363,157003.3211,68939468.05,5749273.406,1223109.42,44587736.54,171223.3978,22450603.17,7097063.442,22776025.8,,31885459.36,10033452.05,1651214.503,3300786.89,6627122.985,53128844.62,679653.2848,33203032.34,26895823.43,57271.58443,31639244.21,182087311.2,13771230.18,176773910.8,8157973.906,93731179.49,43810963.03,68179713.98,79980498.8,104852178.1,12606.22754,683580235.1,13292157.79,15801599.63,3743238323,2813412.146,31545866.07,48987043.04,853152.4628,37260627.52,5781798.56,110401.57,61940585.08,8750435.58,719488.4,47362098.32,93561,26447399.34,8826207.89,23127313.36,,43277283.52,12985198.96,2288238.03,3372133.07,6648869.81,62544070.24,689298.7,42141103.12,36324568.72,41456.75,41904402.44,263722995.7,16150872.51,158563750.7,7583210.92,108900661.4,65913627.64,59798175.07,88096443.99,128245565.9,15319.86,275941885.5,15804826.45,15529990.46,2981347997,2882096.26,39162515.96,55217973.65,467041.12,N
74,44235290.92,5351510.711,78930.35568,62514420.27,4622378.564,322401.4173,51988663.4,492397.2961,21095222.45,8808866.824,23287073.61,24796528.08,36057708.35,12029094.01,1901150.291,6444596.549,5613178.411,47088000.44,1541919.792,40028531.09,28253742.55,117301.9066,40117599.91,176918658.6,20535343.28,137175912.6,8825191.295,75367504.4,39584647.64,62891938.42,62831263.69,66918544.5,21316.5257,425401102.6,11412412.29,14761360.48,2812481781,1766978.533,23779021.69,48285280.02,1218607.863,22055123.89,2275346.86,337948.42,20940467.11,2933731.26,3927257.75,26045825.57,89924.93,18627064.47,6620061.67,33983781.73,11219566.51,33080639.3,5143350.93,888837,1980273.81,935811.61,21714429.21,147373.77,32394490.74,11781331.21,77190.01,20208387.77,113693505.5,12536776.53,116951530,5761114.7,63310991.63,17671384.89,29451398.95,28033307.27,74082759.68,13985.11,235534441.3,14257128.43,11593226.37,8302486230,1369498.88,17637215.51,61969791.85,1648128.9,N
128,54333006.61,8179923.553,82270.44413,41735925.15,3535206.804,126946.7738,75843437.15,169412.5542,29334921.27,11791256.01,24591987.47,26985908.31,43557842.7,7922267.131,1750674.252,2087436.735,8411498.489,52187715.22,555942.5945,50646532.94,39136059.67,65503.19653,50272164.39,136026582.1,22872861.84,234277991.6,11427950.01,138118149.8,18038595.54,63367380.59,65408306.72,200790582.8,38790.21615,1037307020,10906265.37,16804108.17,1212905275,443928.9117,32026766.67,56911771.66,2696079.126,27805313.08,6463392.76,138568.67,22839716.26,1112353.14,35752.67,46917464.96,8268.97,21514256.1,7052296.28,21372042.37,14106466.47,40128500.54,2953935.07,1014881.8,769811.39,559998.22,28770065.82,70582.47,46483173.06,23466140.25,20867.68,34119663.68,85217482.98,15443806.92,151509041.8,11805671.21,99208004.85,7337876.08,28208767.46,31857503.02,77310696.89,61780.78,1080207507,8585483.97,14810465.59,1799208283,78632.18,18077776.04,65615735.17,3266804.87,N
184,23611920.86,4736848.211,110922.9606,63239772.43,4107649.023,151854.5875,63193303.29,1019985.331,18928613.92,9111655.116,16748901.6,23099021.47,42658580.05,6287661.993,2843400.93,8155589.179,18111112.69,57523858.91,2240931.012,39163217.13,36852598.39,32430.43077,34586760.73,67165820.25,15070600.22,84793788.83,7552044.413,77165343.12,16125589.78,43267032.35,16697572.93,72234702.3,162144.0354,302783403.2,19742179.68,19793596.06,1630585892,1621531.406,32358737.3,83177403.53,1998993.096,9081381.43,1856533.36,546490.67,27008997.83,3457315.69,14406316.13,20695933.57,56725.07,10342826.8,3528883.51,22639153.95,9126487.44,25540631.22,3470470.82,715124.65,2490571.45,4258568.54,24100328.71,116026.49,21578382.75,14860634.92,71304.91,19369459.95,58706990.15,6819329.3,58437057.93,3012082.65,59009882.73,8353780.16,15189584.76,12804538.72,108727875.3,123440.57,250594796.5,17346219.4,10632295.29,3447231828,3818565.65,8173609.35,178097386.9,8137845.57,N
191,22224693.49,4644456.065,56646.56567,44196088.34,3756899.975,577679.9541,58016360.61,258446.5347,18802099.98,8920381.314,15830114.28,23448669.5,35060643.07,7070176.048,2153613.247,6136179.165,8834214.46,42392872.63,541559.7922,31066361.93,34153446.32,8814.5285,31550785.65,73393754.62,13947412.73,96710000.76,5746890.62,89530642.11,18224980.93,28431937.72,20998929.06,67411679.6,57850.02732,146998850.9,17313527.38,20504177.78,1707953370,4420187.966,23585007.82,67917002.37,1478699.964,20836574.53,4417662.42,116712.77,43265989.14,3620585.02,1226827.97,51729768.42,212150.4,18718974.13,9417174.68,16308443.12,22902196.29,33664314.07,6827595.86,2360789.54,6628907.73,9351817.41,49437273.74,520643.78,26814116.26,29964562.21,19910,31722294.46,78332009.42,13129914.96,99195531.34,6729420.1,66525394.86,15304885.05,29260027,17787790.75,113407230.2,210246.88,184664618.8,15498749.04,17168514.19,1311430802,2394844.79,24833874.38,80924704.64,2203762.54,N
193,22854153.99,5991259.285,95573.71214,20705218.5,3827922.085,455366.1038,43058555.57,31220.95433,16569938.97,6348584.615,19086548.47,16373445.52,28965381.82,3399937.728,1395497.471,3089615.921,2691451.251,25826100.36,19802.42386,29205949.82,24716476.93,7574.27364,23177456.07,57114041.2,12460416.36,90439042.4,7043835.422,66764292.84,11795552.51,31253460.3,16003324.12,49876623.84,26020.43003,78597413.71,15624838.04,18510198.33,2044969009,714462.9267,23887061.11,45699068.35,808976.4316,16963684.62,6540671.4,422308.93,7290983.8,4398538.74,10274401.46,16792234.51,504.83,18655387.21,4928199.19,25191167.94,7880104.73,28833737.29,1468941.36,786129.94,647712.73,263410.03,11219141.02,234.83,38188077.58,13062958.31,23396.68,21595468.73,82087500.71,9059247.68,96464414.64,5171550.01,86985896.51,13506661.65,23714701.07,17482553.66,101085883.5,25944.02,12122639.03,28745468.47,15458982.98,4783768030,920375.91,16950904.53,46236322.97,1888671.68,N
363,55230423.44,7779473.687,237399.5456,39892668.82,4317240.028,674535.5745,82072658.88,218637.2757,2381618691,11594651.42,26303023.31,33991825.74,42473208.77,7364270.37,1635189.503,3860782.765,7030192.397,63004438.13,3702.73297,44158343.53,37259686.26,43045.71492,46610850.25,142351890.8,25450473.85,186594115.7,10502656.35,73573030.94,32411170.25,47841100.45,53055501.95,172461618,59260.6951,960602690.1,14813902.3,21274414.94,3301718268,,34316663.42,108764869.1,202773.3835,45472266.55,4938938.5,190079.52,51187364.59,5911287.22,995863.15,77133454.17,373590.75,1908382515,11115734.54,29651612.8,38248471.91,38121731.4,7929758.95,1682092.88,4880108.78,8447512.39,49530233.03,4141.11,48616058.34,38496265.93,49672.28,47567191.64,169080092.5,21134773.08,229323729.6,7454055.38,92789557.81,36227710.28,57662568.25,66864978.8,224661981.8,122136.57,816334251.5,15684047.29,17084959.15,3251345842,,29285532.5,79116122.49,141345.37,N
378,73705072.89,8122963.022,167409.0416,48429400.98,4647687.812,1116939.197,60035617.23,12700.1888,26324789.24,8849704.597,24038198.25,38501556.6,63094442.97,13562246.78,6156914.315,3671239.461,3905349.223,56578983.58,143344.1134,57669889.64,40044101.54,113611.2246,67813562.93,279367866,27752600.37,208049753.2,5398065.439,151507192.4,47083184.93,77371304.47,69759282.01,166637152.1,18760.39912,753632663.7,22627825.4,13727182.79,4747172889,976911.7219,38822666.49,68528631.25,1097686.676,41247944.97,5388685.09,269933.21,49073420.26,4558268.32,8645009.99,45864383.77,8355.37,21517799.79,8291232.31,21648306.82,37912009.99,47290407.22,9726483.45,3970483,4314287.82,2045807.52,50055346.01,50793.12,23702499.35,33476650.8,52299.45,47170231.26,359734270.5,15578925.62,134127546,4011976.35,127050900.5,48022398.98,46415521.45,78082744.6,178529643.1,25613.32,156330148.1,18040839.21,10521837.43,4039366261,2541185.39,18450939,77259462.3,1140582.83,N
