CA150_4h,CUGBP_4h,ESRP1_4h,FBP11_4h,MAGOH_4h,NOVA1_4h,PRP8_4h,PSF_4h,PTB_4h,RAVER1_4h,RBM17_4h,RBM22_4h,RBM3_4h,RBM45_4h,SAM68TV1_4h,SC35_4h,sf3btv1_4h,SF3BTV2_4h,SKIP_4h,SND1_4h,SRM160_4h,SRSF1_4h,SRSF10_4h,SRSF3_4h,SRSF4_4h,SRSF5_4h,SRSF6_4h,SRSF9_4h,TIA1_4h,TRA2A_4h,TRA2B_4h,U11_4h,U12_4h,U2_4h,U2AF1_4h,U2AF2_4h,U4_4h,U4ATAC_4h,U5_4h,U6_4h,U6ATAC_4h,Class,
16,-1.19070317408011,-0.623145632480237,0.105147633284454,-0.561547643847722,1.16663986787312,0.454817654874074,-0.435125807515858,-0.104026770382329,-0.739281514639864,-0.426621772638593,-0.881803382071855,-0.449462656097705,-0.287497285074002,-0.196101934385673,0.015551582292427,0.473388604160995,0.0015346267959,-0.51506870808513,0.495158932472932,-0.381102136200943,-0.155805526325098,-0.851063671456837,-0.67754988796061,-0.681969912812398,-0.316766935261514,-0.66540751231191,-0.089279400111124,-0.661507572794534,-0.342375336667945,-0.814677201317441,-0.911867214355714,-0.228286285142919,0.766706316543476,0.245518100145167,0.27260240096351,0.336072201755898,-0.19697884740982,1.08826599602957,-1.57227628396311,-2.64089025958974,0.897193847388922,N
18,-0.360434486357757,0.207274935827688,-0.174987820662399,-0.354417208657751,0.291668609301151,-0.221560906938516,-0.723045396205307,-0.420936432658583,-0.165113661257771,0.013939342486032,-0.373985279359785,-0.097798577481571,-0.000628616062891,-0.038764606552427,-0.222464830402188,-0.730645329686333,-0.415160016062548,-0.759730088512944,-0.378492011718345,0.542233933017734,-0.169890720228312,0.376790863162737,-0.618867655330751,-0.278860295733898,0.051181196027339,0.282031752713601,0.497346892361598,0.461977568314091,-0.077677365369194,0.461289208821801,-0.217419293791588,0.442875552344448,0.898354157491703,-0.423181661186979,0.782876561690457,0.700980776146899,0.106866237727466,1.18195556040131,0.634055624190421,-0.296394862814332,0.128773975399,N
29,0.278180459661418,0.163102137289258,-0.494845652820897,0.531419075904062,1.22494881174001,-0.044159753644403,-0.385376950070725,-0.288661934797226,0.092951593368993,0.162443080501362,0.116224208375985,0.925259789296384,0.374465658529561,1.18746342178136,0.66177310113739,-0.152930809709252,0.386066882992566,0.637868796624258,0.724127394983474,0.320288914563344,0.813052128859316,0.128562649290277,0.201171055996334,1.07055414078186,0.131940642371827,0.43396604844144,0.487512172475879,0.557136910097857,1.96239201381418,0.906451186807562,1.44127307099814,0.125352909676067,-1.22751435417389,-0.403443169554635,0.27845205599986,0.19625297918551,0.090266785050847,0.401388465976693,0.7089254673832,-0.275525556758674,-1.01053221936746,N
74,-0.838291574383982,-1.50753122036218,1.06799844302196,-1.0733453082807,-0.489165874739251,0.732899729185317,-1.45355249155328,-0.31209291039989,-0.368420185887702,-0.446934091943775,1.00178449847986,-1.15095679752067,-0.525765251166032,-0.416254899223775,-0.581023177772386,-0.735012788205952,-1.25546468188008,-1.0492137359082,-0.262016866441432,-0.168855405447218,-1.68941053046783,0.720423068176595,-1.14809470427108,-0.186553140831631,-0.34459723364251,-0.156791309561362,-0.092072442804885,-0.75013119896507,-0.40583632358174,-0.828038387867085,-0.499600063931201,-0.819198360673333,-1.31127721754446,-0.572168332234583,-0.01734550994229,-0.45724790714896,1.45843770417766,-0.359509168858104,-0.255368442304946,-0.123144930947146,0.072110302507919,N
128,-0.342979696562938,0.426201939340604,-0.084610969389177,-0.973226565615574,-1.65497898550452,-1.68898154142566,-0.406434659187679,-1.38602039870963,-0.168501041890809,-0.323458582725578,-0.128625463485123,-0.827639127749919,0.149725727142389,-1.09748404508572,-0.429097950810257,-1.54929681860976,-1.47998019678759,-0.689036792924338,-0.61739633964677,0.512240285100147,-0.427197159853182,-0.65514704783392,-0.198365683129784,-0.758554992247862,0.045036528706425,0.34119938184221,1.62933139538641,0.358727946454133,-1.39675519971629,-0.915432218245043,-0.328212019996651,-0.737679684705662,0.040404560106775,1.31838751473069,-2.0547682428943,0.080793540344984,-0.484142500718887,-2.40055416915874,-0.225242475319425,-0.047498101292321,0.904182541733751,N
184,-2.76559006389224,-1.77149383346248,1.47104127210891,-0.767714210040601,-0.261326166242751,1.26393899456051,-1.74749159860646,-0.568985579550538,-1.36007377562187,-1.41401740043681,0.05256861129495,-1.41528148695863,-1.71165371692789,-0.916999921973266,-0.816272342137848,-0.49662558286937,-0.137162966799992,-0.922031240068566,-0.384488851838961,-0.855939204883228,-1.33823450184271,0.650467514695442,-1.22087796149477,-1.63542251785217,-1.3507757077542,-1.27153022661815,-1.15440293377144,-0.949409491457088,-1.27250435497744,-1.98659459936917,-1.36268067323551,-0.136145857184959,0.660496397660128,-0.506809883514437,0.519069641874278,-0.626071566531805,0.266917242052512,0.721014041236297,-1.20426420768324,1.28789630087257,2.39202702118647,N
191,-0.960295601586254,-0.409598047146349,-0.389102954715001,-0.093743531200845,-0.19555428334444,0.211033765204177,-0.180668902561536,0.24760989934525,-0.361340751099515,0.317916652628608,-1.19271454206097,-0.022981955245202,-0.458001834788471,0.004360228732922,0.70973528623457,0.747739748923586,0.872524616453848,0.176517193655364,0.516266553985738,-0.498474289900251,0.213641551092182,-0.714432204832312,-0.33625514926821,-0.942364390225701,-0.260343538046057,-0.448779853558685,0.224657290000201,-0.614309927244542,-0.593910476200155,-0.841373231666465,-1.03653037217341,-0.067660626394401,1.13342782579647,-0.820412808934725,0.224786718631539,0.453549103415845,-0.814208868722964,0.200922215872397,0.160747510460387,0.230733542008492,0.400290235555637,N
193,-1.40336012422055,0.455224993908179,1.26978126372757,-2.0094307572966,0.090634661749024,1.13082890787623,-1.97216521348761,-2.07230070546627,-0.366232941755226,-0.954758026474956,0.353877823367942,-1.58886558471755,-1.11015573242916,-1.74282984836809,-0.715921575216745,-1.67287132925137,-1.72159947428851,-1.70934564372428,-1.97940882384146,0.132811377384635,-1.54116635849912,-0.513978170901822,-1.03294130182074,-0.83921397685905,-0.904520956917568,-0.496484470863122,-0.296572525724321,0.061418009860841,-0.748446847607991,-1.24915940025685,-1.05490945366146,-0.257512891347265,-0.745567718088876,-2.86343346058854,1.48025770606213,0.184928960335241,0.685764630052997,-0.720420912154062,-0.30387264206747,-0.509330854682769,0.221680156274618,N
363,0.697899008459984,-0.182449264172168,0.398188584959968,0.185880861440612,0.553619991683208,0.112517778056606,0.947601528884561,0.683607427527389,2.1458489465589,0.750098874702886,0.738459399144842,1.04310580819676,-0.014840299802855,0.249571223047792,0.214299471242699,0.314962516458437,0.718798809807785,0.179977687792595,-1.52149458576738,0.601857494250844,1.01254373060634,0.311342027307906,0.455562442062599,0.474190776216704,0.679653491167192,1.24889703679053,0.448624302958588,0.210106008507607,0.723250533673231,0.801981586507682,0.880686725960541,0.888675108755778,0.651028333226722,0.922263404364777,0.257533698260968,0.440606684090484,0.195097161817691,0.656842246243009,0.359927941977202,0.200688423985841,-1.66590902550972,N
378,0.492721419880698,0.004977620256265,0.834338768974304,0.113612236669497,0.144655245988937,1.06150184383157,-0.456477221572542,-1.38253142244263,-0.168281032226179,0.019116797987075,-0.087007655464165,1.02257973187252,0.613759873286533,0.612482289665384,1.58523732564247,0.152656998837823,-0.782317455658584,0.19946895299115,-0.756831033114568,-0.704154562621535,0.547609598789221,0.361790210378882,0.438551453020219,1.41318371981708,0.061854761108594,0.100642342902248,-0.731693318287696,0.864163666466002,1.26816434186647,0.215916633753141,1.18756600773394,0.597452158845785,-0.757261510956646,-0.982955022456985,0.613659391270487,-0.645756298120318,0.465978945307117,0.264290199048334,-0.2003087137027,0.16913624941386,-0.296786274587055,N
