CA150_0h,CUGBP_0h,ESRP1_0h,FBP11_0h,MAGOH_0h,NOVA1_0h,PRP8_0h,PSF_0h,PTB_0h,RAVER1_0h,RBM17_0h,RBM22_0h,RBM3_0h,RBM45_0h,SAM68TV1_0h,SC35_0h,sf3btv1_0h,SF3BTV2_0h,SKIP_0h,SND1_0h,SRM160_0h,SRSF1_0h,SRSF10_0h,SRSF3_0h,SRSF4_0h,SRSF5_0h,SRSF6_0h,SRSF9_0h,TIA1_0h,TRA2A_0h,TRA2B_0h,U11_0h,U12_0h,U2_0h,U2AF1_0h,U2AF2_0h,U4_0h,U4ATAC_0h,U5_0h,U6_0h,U6ATAC_0h,CA150_4h,CUGBP_4h,ESRP1_4h,FBP11_4h,MAGOH_4h,NOVA1_4h,PRP8_4h,PSF_4h,PTB_4h,RAVER1_4h,RBM17_4h,RBM22_4h,RBM3_4h,RBM45_4h,SAM68TV1_4h,SC35_4h,sf3btv1_4h,SF3BTV2_4h,SKIP_4h,SND1_4h,SRM160_4h,SRSF1_4h,SRSF10_4h,SRSF3_4h,SRSF4_4h,SRSF5_4h,SRSF6_4h,SRSF9_4h,TIA1_4h,TRA2A_4h,TRA2B_4h,U11_4h,U12_4h,U2_4h,U2AF1_4h,U2AF2_4h,U4_4h,U4ATAC_4h,U5_4h,U6_4h,U6ATAC_4h,Class,
16,-0.673413556002795,-0.183966470232639,1.23817098695398,0.231475305797803,0.349939751590174,1.17917212235475,0.055417265353419,1.71817502750137,-0.589428924219905,0.372811182151668,0.527650203761014,-0.13486732699259,-1.06077812672676,-0.365324915366359,-0.098264487198943,1.01679728833905,1.25145465130699,-0.009124922898821,1.90276354419838,-0.434472284544769,0.050577113040602,0.393086082123333,-1.14554225633025,-0.813711407775652,-0.311089159133353,-1.22756813950909,-0.16829122658995,-0.747747940097055,-0.731443058675233,-0.691981367137993,-1.30926265258887,-0.694404569019057,0.561228924915162,0.4528345622187,0.700643924557234,-0.052444373046965,0.640427597585592,0.827741759282756,-1.78923640534767,-2.02802724271703,1.73545000708496,-1.19070317408011,-0.623145632480237,0.105147633284454,-0.561547643847722,1.16663986787312,0.454817654874074,-0.435125807515858,-0.104026770382329,-0.739281514639864,-0.426621772638593,-0.881803382071855,-0.449462656097705,-0.287497285074002,-0.196101934385673,0.015551582292427,0.473388604160995,0.0015346267959,-0.51506870808513,0.495158932472932,-0.381102136200943,-0.155805526325098,-0.851063671456837,-0.67754988796061,-0.681969912812398,-0.316766935261514,-0.66540751231191,-0.089279400111124,-0.661507572794534,-0.342375336667945,-0.814677201317441,-0.911867214355714,-0.228286285142919,0.766706316543476,0.245518100145167,0.27260240096351,0.336072201755898,-0.19697884740982,1.08826599602957,-1.57227628396311,-2.64089025958974,0.897193847388922,N
18,-0.334418253607588,0.33350532793519,0.566208384800974,-0.051231188027234,-0.512238030966854,1.11490335303125,0.011451780620233,-0.510193809644825,-0.437302924659714,0.149865000114205,0.679175923108213,0.011666998253403,0.016214164854594,0.072626760331905,-1.03046402798529,-0.496914694725325,-0.482786564653398,-0.85733931613395,-0.097403538286462,-0.232329853302077,-0.244479229778878,-0.229115776582639,-0.814619739542731,0.024729273789443,-0.39720376417028,-0.08628799717201,-0.582248882487358,0.299306245750503,0.005533640706113,-0.082462484469322,0.086665790483995,-0.270109030986282,-1.19000055283184,-0.10320665744481,0.644910281660338,0.614013483053445,0.666224751733182,-0.008768348030086,0.12711406702743,0.27811946941645,0.869468881895851,-0.360434486357757,0.207274935827688,-0.174987820662399,-0.354417208657751,0.291668609301151,-0.221560906938516,-0.723045396205307,-0.420936432658583,-0.165113661257771,0.013939342486032,-0.373985279359785,-0.097798577481571,-0.000628616062891,-0.038764606552427,-0.222464830402188,-0.730645329686333,-0.415160016062548,-0.759730088512944,-0.378492011718345,0.542233933017734,-0.169890720228312,0.376790863162737,-0.618867655330751,-0.278860295733898,0.051181196027339,0.282031752713601,0.497346892361598,0.461977568314091,-0.077677365369194,0.461289208821801,-0.217419293791588,0.442875552344448,0.898354157491703,-0.423181661186979,0.782876561690457,0.700980776146899,0.106866237727466,1.18195556040131,0.634055624190421,-0.296394862814332,0.128773975399,N
29,0.314756883954501,0.134260718955556,-0.13130215152636,1.09491623866889,0.658462364924666,-0.131867947343754,-0.320035714640873,0.243804666463707,-0.085312486785921,-0.216821737731532,0.086258874978422,0.726605167140308,-0.503569645953607,0.826164754185196,0.302716926940843,-0.104992664689033,0.453688608314569,0.444095091353132,0.885406728683041,-0.059015573425765,0.036261165197112,0.334702595315127,-0.201482765434105,0.473084158570523,-0.06744779239186,0.675492007152879,0.469715537858989,0.140592771163533,1.13778640500715,1.22880209952636,1.09876117487808,-0.241725091645049,-1.39219748819619,0.590457271393148,-0.290508966469585,0.306923446360377,0.25098854002727,0.228193743634466,0.733271095329219,-0.541668556436591,-0.547342271584524,0.278180459661418,0.163102137289258,-0.494845652820897,0.531419075904062,1.22494881174001,-0.044159753644403,-0.385376950070725,-0.288661934797226,0.092951593368993,0.162443080501362,0.116224208375985,0.860929361664763,0.374465658529561,1.18746342178136,0.66177310113739,-0.152930809709252,0.386066882992566,0.637868796624258,0.724127394983474,0.320288914563344,0.813052128859316,0.128562649290277,0.201171055996334,1.07055414078186,0.131940642371827,0.43396604844144,0.487512172475879,0.557136910097857,1.96239201381418,0.906451186807562,1.44127307099814,0.125352909676067,-1.22751435417389,-0.403443169554635,0.27845205599986,0.19625297918551,0.090266785050847,0.401388465976693,0.7089254673832,-0.275525556758674,-1.01053221936746,N
74,0.609362806338938,0.13422681595115,-1.21665857902661,0.832965019991268,0.200099596008448,-0.928316907119182,-0.009049553853467,1.10103869636028,-0.148064535195957,0.221473602374902,0.147434989796367,0.211889796278186,-0.186771180649964,1.2801127101219,0.456830825971877,0.759336229065174,0.197076606759519,0.189928488988897,1.58202108726184,0.236235867399633,0.153370244222046,0.948609777904879,0.34922965091074,0.435894564414624,0.636031853282097,0.185188186213799,0.616749860359904,-0.303636669196875,0.969158794890714,0.992142490018371,0.734621061036834,-1.05734716480667,-0.914988172914082,0.052630432732466,-0.758975335909424,0.165649095293375,-0.075876229214302,-0.22965676465046,0.115470947568691,-0.557959392105803,-0.30100106657287,-0.838291574383982,-1.50753122036218,1.06799844302196,-1.0733453082807,-0.489165874739251,0.732899729185317,-1.45355249155328,-0.31209291039989,-0.368420185887702,-0.446934091943775,1.00178449847986,-1.15095679752067,-0.525765251166032,-0.416254899223775,-0.581023177772386,-0.735012788205952,-1.25546468188008,-1.0492137359082,-0.262016866441432,-0.168855405447218,-1.68941053046783,0.720423068176595,-1.14809470427108,-0.186553140831631,-0.34459723364251,-0.156791309561362,-0.092072442804885,-0.75013119896507,-0.40583632358174,-0.828038387867085,-0.499600063931201,-0.819198360673333,-1.31127721754446,-0.572168332234583,-0.01734550994229,-0.45724790714896,1.45843770417766,-0.359509168858104,-0.255368442304946,-0.123144930947146,0.072110302507919,N
128,0.90389520262832,0.875790396565743,-1.14171256286325,-0.135684592872803,-0.291547347220531,-1.50501621210081,0.819751632648133,0.236108960975322,0.167104503230696,0.853526795996113,0.290618225260679,0.372245760356929,0.250461288525135,0.30415269001575,0.366815617738942,-0.627292569501626,0.867474368706164,0.406062542495821,0.733012803811921,0.618313897915813,0.980095532559232,0.454487719668717,0.813592851771225,0.073233630736291,0.826172578879456,1.16174817164723,1.13704105892122,0.840506393212581,-0.264498639870755,1.01388300071983,0.794912401650403,0.735783634802082,-0.380884844471377,1.09004845392668,-0.909025640255771,0.435832224398971,-1.08554302167859,-1.45381983538752,0.769720503676112,-0.371450775569193,0.323502678830927,-0.342979696562938,0.426201939340604,-0.084610969389177,-0.973226565615574,-1.65497898550452,-1.68898154142566,-0.406434659187679,-1.38602039870963,-0.168501041890809,-0.323458582725578,-0.128625463485123,-0.827639127749919,0.149725727142389,-1.09748404508572,-0.429097950810257,-1.54929681860976,-1.47998019678759,-0.689036792924338,-0.61739633964677,0.512240285100147,-0.427197159853182,-0.65514704783392,-0.198365683129784,-0.758554992247862,0.045036528706425,0.34119938184221,1.62933139538641,0.358727946454133,-1.39675519971629,-0.915432218245043,-0.328212019996651,-0.737679684705662,0.040404560106775,1.31838751473069,-2.0547682428943,0.080793540344984,-0.484142500718887,-2.40055416915874,-0.225242475319425,-0.047498101292321,0.904182541733751,N
184,-0.320313264152921,-0.079430732784068,-0.639341550633939,0.863263536890548,-0.025508124328153,-1.39285896594114,0.407517315823924,1.8134328402183,-0.26107674225602,0.292287304233697,-0.96525534986161,0.075490421684812,0.20495021983943,-0.139899425495981,0.890442468270601,1.09524444737729,2.65444974756335,0.614918163687295,1.94447916069585,0.201343928273062,0.820499273997618,-0.198572852023295,0.013084345625042,-1.14169879607919,0.091122717432975,-0.902548918004387,0.330164070762997,-0.253715507803866,-0.430408720890892,-0.005517767899471,-1.1747785119196,-0.909441191592243,0.854061550766782,-0.314006541279851,0.701992031082198,0.785060022752364,-0.721918640307627,-0.311571376168441,0.794774419479455,0.066948096138563,0.075153986711583,-2.76559006389224,-1.77149383346248,1.47104127210891,-0.767714210040601,-0.261326166242751,1.26393899456051,-1.74749159860646,-0.568985579550538,-1.36007377562187,-1.41401740043681,0.05256861129495,-1.41528148695863,-1.71165371692789,-0.916999921973266,-0.816272342137848,-0.49662558286937,-0.137162966799992,-0.922031240068566,-0.384488851838961,-0.855939204883228,-1.33823450184271,0.650467514695442,-1.22087796149477,-1.63542251785217,-1.3507757077542,-1.27153022661815,-1.15440293377144,-0.949409491457088,-1.27250435497744,-1.98659459936917,-1.36268067323551,-0.136145857184959,0.660496397660128,-0.506809883514437,0.519069641874278,-0.626071566531805,0.266917242052512,0.721014041236297,-1.20426420768324,1.28789630087257,2.39202702118647,N
191,-0.412459148960982,-0.113942991694088,-1.86748589089249,-0.008747314069306,-0.186423051229119,-0.5758683716174,0.222071474911195,0.555459370075746,-0.268232569320009,0.247759998622309,-1.20698225089624,0.104541490405802,-0.256659468138302,0.077830423802468,0.592171898080358,0.691550713920981,0.959788150673507,-0.026204929228237,0.713627324071934,-0.162318731002405,0.623248507940466,-1.59465420704048,-0.208388448434146,-0.967040183012332,-0.045096829512331,-0.582902024008758,-0.127871637390416,0.050384392363566,-0.249163999597704,-0.953880586641482,-0.855149695041798,-1.04297164090719,-0.030023887527234,-1.0439413994844,0.404726126422335,0.861462959243798,-0.665792031307339,0.696936036500619,0.099233717109208,-0.168584796251006,-0.158899591155909,-0.960295601586254,-0.409598047146349,-0.389102954715001,-0.093743531200845,-0.19555428334444,0.211033765204177,-0.180668902561536,0.24760989934525,-0.361340751099515,0.317916652628608,-1.19271454206097,-0.022981955245202,-0.458001834788471,0.004360228732922,0.70973528623457,0.747739748923586,0.872524616453848,0.176517193655364,0.516266553985738,-0.498474289900251,0.213641551092182,-0.714432204832312,-0.33625514926821,-0.942364390225701,-0.260343538046057,-0.448779853558685,0.224657290000201,-0.614309927244542,-0.593910476200155,-0.841373231666465,-1.03653037217341,-0.067660626394401,1.13342782579647,-0.820412808934725,0.224786718631539,0.453549103415845,-0.814208868722964,0.200922215872397,0.160747510460387,0.230733542008492,0.400290235555637,N
193,-0.369899764701986,0.331807369523545,-0.88161894405651,-1.45315577709272,-0.15332464487582,-0.718872466851798,-0.388724490691734,-0.792624437365853,-0.406742287447258,-0.433410221239669,-0.467766487839326,-0.613216897998196,-0.770445021182007,-1.06191991795424,0.117166152050662,-0.183658903141172,-0.687016832175725,-0.985610623061992,-1.01551128827603,-0.257417170407309,-0.160083575338862,-1.77452626024447,-1.03365111418894,-1.47958256984562,-0.24324170082625,-0.743647414316824,0.208144898929361,-0.567896810738679,-0.880571018543128,-0.754515803178295,-1.23352335003414,-1.66376110214431,-0.735949914956702,-1.62586595522485,0.151035204255538,0.640998704553427,-0.44986524562061,-1.05383202619003,0.124493539255541,-0.619968351138947,-0.582428081546481,-1.40336012422055,0.455224993908179,1.26978126372757,-2.0094307572966,0.090634661749024,1.13082890787623,-1.97216521348761,-2.07230070546627,-0.366232941755226,-0.954758026474956,0.353877823367942,-1.58886558471755,-1.11015573242916,-1.74282984836809,-0.715921575216745,-1.67287132925137,-1.72159947428851,-1.70934564372428,-1.97940882384146,0.132811377384635,-1.54116635849912,-0.513978170901822,-1.03294130182074,-0.83921397685905,-0.904520956917568,-0.496484470863122,-0.296572525724321,0.061418009860841,-0.748446847607991,-1.24915940025685,-1.05490945366146,-0.257512891347265,-0.745567718088876,-2.86343346058854,1.48025770606213,0.184928960335241,0.685764630052997,-0.720420912154062,-0.30387264206747,-0.509330854682769,0.221680156274618,N
363,0.927155696598414,0.788184502123039,0.381791892689994,-0.233535543119354,0.06777344438097,-0.483269377871397,1.00521296370832,0.425572213601279,2.01559937040016,0.815759979192477,0.45412138789996,0.796764283623047,0.195366397050241,0.157124671975948,0.292009263955882,0.086128630201079,0.550963711556947,0.813953632588567,-1.51153046829383,0.394248493239467,0.849417464798386,0.072315811751464,0.663958975308688,0.139050981840028,1.0146563237021,0.773383810447664,0.960612350112604,-0.355156611715588,0.643251538695059,0.247342969563774,0.482530343022348,0.526183873533845,-0.009019141552529,0.996078016222182,0.011372376925672,0.941796652452732,0.108480487258583,0.398617094294231,0.940819955622172,0.38351879937138,-1.36332891677272,0.697899008459984,-0.182449264172168,0.398188584959968,0.185880861440612,0.553619991683208,0.112517778056606,0.947601528884561,0.683607427527389,2.1458489465589,0.750098874702886,0.738459399144842,1.04310580819676,-0.014840299802855,0.249571223047792,0.214299471242699,0.314962516458437,0.718798809807785,0.179977687792595,-1.52149458576738,0.601857494250844,1.01254373060634,0.311342027307906,0.455562442062599,0.474190776216704,0.679653491167192,1.24889703679053,0.448624302958588,0.210106008507607,0.723250533673231,0.801981586507682,0.880686725960541,0.888675108755778,0.651028333226722,0.922263404364777,0.257533698260968,0.440606684090484,0.195097161817691,0.326141299346107,0.359927941977202,0.200688423985841,-1.66590902550972,N
378,1.33194039242726,0.863596189691795,-0.045532017788298,0.200818431375239,0.21090046720481,-0.1850643486969,0.29572883985428,-1.20754801499371,0.068172818222985,0.231128346184086,0.232008005326149,1.0182679838328,0.958450588007522,1.60850195028618,1.69619034010963,0.02400980848494,-0.285563342900702,0.57909221807902,-0.135388137501507,0.834343072245354,1.04186220507815,0.922542209289929,1.35171013176175,0.972699968520518,1.16761048930563,0.963795225707928,-0.225442735613947,0.992064705290652,1.25888360552867,1.61604980958968,0.891808501382328,0.47729534335633,-1.03028677519381,0.705038210338528,0.981401122850306,0.01660903303078,0.516583330779899,-0.778696136564778,1.26669143045765,-0.158233510057339,-0.375249824698794,0.492721419880698,0.004977620256265,0.834338768974304,0.113612236669497,0.144655245988937,1.06150184383157,-0.456477221572542,-1.38253142244263,-0.168281032226179,0.019116797987075,-0.087007655464165,1.02257973187252,0.613759873286533,0.612482289665384,1.58523732564247,0.152656998837823,-0.782317455658584,0.19946895299115,-0.756831033114568,-0.704154562621535,0.547609598789221,0.361790210378882,0.438551453020219,1.41318371981708,0.061854761108594,0.100642342902248,-0.731693318287696,0.864163666466002,1.26816434186647,0.215916633753141,1.18756600773394,0.597452158845785,-0.757261510956646,-0.982955022456985,0.613659391270487,-0.645756298120318,0.465978945307117,0.264290199048334,-0.2003087137027,0.16913624941386,-0.296786274587055,N
