Id,CA150_4h,CUGBP_4h,ESRP1_4h,FBP11_4h,MAGOH_4h,NOVA1_4h,PRP8_4h,PSF_4h,PTB_4h,RAVER1_4h,RBM17_4h,RBM22_4h,RBM3_4h,RBM45_4h,SAM68TV1_4h,SC35_4h,sf3btv1_4h,SF3BTV2_4h,SKIP_4h,SND1_4h,SRM160_4h,SRSF1_4h,SRSF10_4h,SRSF3_4h,SRSF4_4h,SRSF5_4h,SRSF6_4h,SRSF9_4h,TIA1_4h,TRA2A_4h,TRA2B_4h,U11_4h,U12_4h,U2_4h,U2AF1_4h,U2AF2_4h,U4_4h,U4ATAC_4h,U5_4h,U6_4h,U6ATAC_4h,Diabetes
1482,39013282.78,4704667.96,128998.97,53700843.73,3903450.13,1127251.17,49061361.05,930098.04,19230303.35,8340845.33,20570989.62,26097759.69,30901361.97,10544522.57,1608049.11,10225547.19,8369121.43,53110510.39,2273812.37,28881284.74,26248366.44,44802.91,38164522.61,138874966.4,20338814.56,104369192.2,8337697.85,64523507.74,35990496.08,55876123.29,57196219.14,79549348.29,47402.95,447534795.6,9076440.85,14135553.56,2974861354,2869672.58,24761751.23,63097985.25,1017005.99,S
32,46383979.04,10561855.88,1170065.38,3422162.31,10695513.06,18485475.88,22667434.93,,27188878.66,5334298.14,55261114.58,10465898.36,64392307.35,739000.61,,513810.3,36501.39,10278530.28,,102641976,12378698.08,16190.11,39763110.04,175642331.2,13335183.77,226293153,10311758.61,184761603.4,9740997.12,54595844.89,25573299.41,139814982.7,14437.65,147080657.8,50222858.62,15224125.5,26230472468,525746.42,2300512656,,1238019.66,S
102,26644073.93,5719842.75,176007.52,57006081.14,8683546.85,164048.36,77991188.84,253784.89,22998831.62,11346758.53,19607885.4,26954446.85,33079354.26,7644636.59,2302841.48,9289945.09,7312743.91,46280124.49,789376.66,32310544.98,44091806.28,25646.59,34374030.73,97275599.62,16295307.31,127314505.3,8049677.54,84512050.55,21410966.68,41890594.11,21540714.08,67836941.51,96978.81,521050299,18041689.77,21373462.64,2788918018,3259722.31,35403608.29,72833478.86,3159558.15,S
158,29121690.53,4476885.88,202465.58,25626777.05,941655.78,176103.05,54811426.95,15645.88,18831026.32,9127294.2,19599400.05,15608369.61,34535241.98,2742469.41,836629.79,1814086.12,1784677.95,29144266.08,70752.77,47135671.26,23103291.74,46412.95,21262793.74,77067393.94,12843672.42,117847527.1,7587204.35,67843716.77,10773152.33,37827347.3,25339810.94,101776979.7,18594.25,638517493.9,9991124.57,5593524.55,1144727043,83582.09,21248475.25,28282635.88,937201.78,S
487,34374942.43,5734399.84,87143.56,71989634.14,4713069.52,148020.54,66835831.2,911880.19,19963724.39,11365274.31,19324707.63,21965079.38,33864605.29,10076329.17,1299542.8,4452384.58,9000518.55,65913228.31,393373.98,43416629.07,35890881.85,53119.67,36445717.64,114365322.4,15218609.58,112287071.2,8033116.92,94800340.71,27406846.06,46012877.91,36240102.29,72390004.26,30004.87,336401051.5,17448768.09,17997833.83,1626283874,1237746.99,29953170.77,81925915.29,1518983.81,S
531,12111293.54,2883691,167018.64,28678013.98,2148777.95,4657005.11,36192858.04,36002.89,13448971.18,6174652.47,18398951.96,15252818.73,28962656.94,3137420.75,452609.02,1162433.49,3195197.03,28482063.36,94735.27,17263808.97,15472690.77,37613.59,22721342.73,63940728.03,10499124.36,87967603.61,4036171.64,59753325.55,9257379.62,14670852.6,17585767.99,107320304.6,44855.77,127956168,10918869.09,10205048.76,1552402272,1576048.12,13041692.26,52005181.92,2426674.86,S
743,22064096.59,3938993.5,132705.44,43895717.77,2587984.36,990595.73,38330506.03,413251.14,12945270.3,6532503.82,17895276.35,16235122.47,37381903.56,5713639.26,939119.05,6251519.73,7700207.06,45390098.35,639420.05,21051919.8,21973675.01,15978.24,26415748.95,71687142.93,14209867.09,76571345.4,7341162.23,56082810.99,12213361.48,26948429.33,16812664.99,89822719.72,192384.86,482219726.2,10817313.02,17516501.15,994960446,4157469.37,14223593.21,76024531.17,2468710.95,S
820,39149306.89,4955646.87,412743.23,158528448.9,34999230.98,654415.14,24006663,92294.68,13356944.11,3675603.81,24196097.6,47804552.76,98990758.02,11418670.63,1199820.56,2416496.77,21440425.35,187547094.5,331945.59,21377525.24,33350891.44,247435.7,101875261.4,532235772,8691479.28,382292281.2,938565.78,99934968.8,71149230.72,90437120.41,121802693.9,666848927.5,270891.27,3426503944,25951866.23,6399946.91,15192258551,16757117.87,8954117.24,126838575.5,1103124.54,S
885,35072074.29,4125366.88,306939.24,42528595.53,2637995.95,11624356.68,38268850.25,85430.94,15872737.78,6318084.68,51645099.92,,36618816.38,10503859.91,1310778.19,1671162.93,2562618.25,35479948.28,210692.3,29867660.49,20886505.71,93649.17,23648434.07,198341968.2,11393623.82,122668119.8,6833639.73,73643722.24,46196484.1,31992604.92,44743844.87,136290380.7,23698.88,,15956579.37,11562418.32,4608734902,1137239,22843801.48,191533354.3,2236043.17,S
905,79821600.63,13421396.29,208141.8,130404156.9,16222059.69,111046.55,136294136.2,543871.87,50781947.88,20193415.58,37324789.04,,58411853.03,23877889.18,4633756.95,7880046.04,13278337.53,102324108.6,1886216.92,72605866.23,76583392.11,95088.97,83191884.39,508111826.7,27891657.05,329525255.1,17791074.36,185911700,113564964.5,134253359.6,140179679,346505740.9,80884.31,1107828447,21126946.73,27625549.81,5651824370,917200.57,74290984.93,129948998.6,2904202.29,S
1485,21301866.78,5305018.9,98344.93,18376972.85,1392701.8,224396.53,43639796.77,19002.93,19150996.21,3772209.68,16204005.14,14782536.5,31714818.06,2317937.16,385093.69,1632256.22,1545088.92,16280071.71,30425.51,26042000,15323825.83,15923.59,29462154.87,64238075.11,7891437.88,64113000.86,2912077.16,65312347.75,17610249.79,33404597.94,17837872.77,109373449.3,19608.49,162513282.1,10525278.12,11328488.83,2150503638,606814.28,11978202.11,30902976.67,466525.45,S
348,35034068.93,5288714.5,136468.4,41616290.8,4961918.81,416400.42,59104694.08,153487.77,1965728912,9345601.59,22955542.01,30621880.16,43303768.93,6787412.4,1436072.34,4256244.69,5879579.46,38527166.21,3444.32,44060316.01,30332750.55,42816.51,37876283.32,148384498.3,19295354.46,138618606.8,7457128.43,78150482.23,26525183.3,38764822.92,59988162.1,178815720.7,138116.63,590748334,14365688.71,12057638.7,2299310938,,24472309.42,57815800.96,91505.65,S
593,96613264.32,8117307.71,816345.63,110834810.8,2198653.41,31257626.56,79870854.56,512.33,55910210.45,6563312.29,75514936.36,54478487.67,140976477.3,10114870.27,5181931.79,15005360.8,236408.42,89575114.76,67039.56,99258247.26,32985831.82,133812.24,62571478.59,859574577.1,27478609.37,331252696.3,4220875.51,200840845.4,66536930.79,67722103.46,126075168.5,753597545.2,75011.55,11197749.52,12143394.4,9314785.52,10031044807,1543364.52,2068716.36,11024913.29,173092.37,S
1503,21172137.93,9954663.16,1123596.43,38907630.88,6200045.15,10424268.24,34212090.19,1448021.08,13453891.75,8111053.41,48558113.65,,28963896.24,8430214.94,1190107.7,3531287.12,3939892.82,34368943.27,2563767,25099233.3,14794610.46,351071.74,32126737.83,283763674,19354668.2,93265358.71,6295238.16,75911155.11,23814278.9,36305804.86,51633099.96,236173225,154711.77,826248949.9,21094175.78,8534487.7,11536186148,3056508.44,26775702.67,227179980.2,3828840.45,S
61,16690724.87,3625953.5,162433.77,22612892.21,6734300.21,1793837.03,32575189.79,42295.53,13470067.78,6126273.16,15259342.89,12950621.84,26427370.76,2773532.5,767268.53,3488834.97,1920457.28,22053818.91,95292.46,25504642.7,16657864.75,27329.81,18696756.53,66009953.29,9008216.11,81180937.56,4900511.47,62604571.7,10019103.69,28725249.97,12277407.93,80330291.83,105707.49,300581096.8,14140560.55,15288556.14,2341733836,5041891.1,14886958.07,22395773.42,1924153.01,S
98,48617577.09,8198470.1,131198.08,61565777.03,7322448.21,1886367.42,61693797.89,110902.16,22927223.4,8875557.41,28222284.87,29607700.41,41457851.01,7435891.22,2126318.31,4709168.55,7424546.84,65344845.87,133522.61,30022198.31,35365812.56,82022.56,41997812.48,205233089.5,16068871.5,161814833.1,1313429.92,83812259.19,35258636.51,40727538.27,57200810.67,101779767,36749.49,614784657.3,13704030.62,18336493.99,4873824224,4932067.63,33878151.07,52883924.28,942432.42,S
563,48284575.12,5799309.94,182653.29,55067199.06,5046225.03,1168377.72,72844341.71,439244.63,2093390067,9805581.05,28065004.91,32758288.58,51442673.08,9301426.89,1551555.76,5214216.46,6961169.92,57445773.69,5710.97,35674851.05,36915292.17,48966.95,44436293.28,145432014.4,25278941.69,156662657.9,7782981.5,78890432.48,28272693,55316692.31,60629283.65,183283535.4,144743.36,765065188.7,15629641.03,16361669.23,3447603390,,23456642.93,101534458.1,161332.92,S
598,22370629.1,3803259.91,237791.76,48164799.34,6956870.79,2744173.1,38474222.82,1476386.74,15775490.89,6761255.5,18643394.35,18443749.51,23074720.03,8326467.99,1028190.89,3593540.64,11360968.68,40056001.72,1989470.54,31344790.68,17775295.74,442849.4,44161441.3,114010671.5,13452196.97,92051796.15,3049009.15,73143238.89,24127712.73,31159000.04,31805891.95,130038439.6,271889.61,1201396700,9356369.18,9870296.75,4358887333,4532179.83,24252823.63,67393470.78,2051857.06,S
