Isoform	hg19.kgXref.kgID	Gen
uc010zjn.1	uc010zjn.1	ABCA12|26154
uc003top.2	uc003top.2	ABCA13|154664
uc003toq.2	uc003toq.2	ABCA13|154664
uc003tos.1	uc003tos.1	ABCA13|154664
uc010kyr.2	uc010kyr.2	ABCA13|154664
uc010kys.1	uc010kys.1	ABCA13|154664
uc010kyt.1	uc010kyt.1	ABCA13|154664
uc010kyu.1	uc010kyu.1	ABCA13|154664
uc002cqa.1	uc002cqa.1	ABCA17P|650655
uc002cqb.1	uc002cqb.1	ABCA17P|650655
uc002cqc.1	uc002cqc.1	ABCA17P|650655
uc004bcl.2	uc004bcl.2	ABCA1|19
uc004bcm.2	uc004bcm.2	ABCA1|19
uc004ckl.1	uc004ckl.1	ABCA2|20
uc004ckm.1	uc004ckm.1	ABCA2|20
uc004ckn.1	uc004ckn.1	ABCA2|20
uc004cko.1	uc004cko.1	ABCA2|20
uc010nca.2	uc010nca.2	ABCA2|20
uc011mel.1	uc011mel.1	ABCA2|20
uc011mem.1	uc011mem.1	ABCA2|20
uc002cpy.1	uc002cpy.1	ABCA3|21
uc002cpz.1	uc002cpz.1	ABCA3|21
uc010bsk.1	uc010bsk.1	ABCA3|21
uc010bsl.1	uc010bsl.1	ABCA3|21
uc001dqh.2	uc001dqh.2	ABCA4|24
uc001dqi.1	uc001dqi.1	ABCA4|24
uc009wdp.1	uc009wdp.1	ABCA4|24
uc010otn.1	uc010otn.1	ABCA4|24
uc002jib.2	uc002jib.2	ABCA5|23461
uc002jic.2	uc002jic.2	ABCA5|23461
uc002jid.2	uc002jid.2	ABCA5|23461
uc002jie.2	uc002jie.2	ABCA5|23461
uc002jif.2	uc002jif.2	ABCA5|23461
uc002jig.2	uc002jig.2	ABCA5|23461
uc002jih.2	uc002jih.2	ABCA5|23461
uc010dfe.2	uc010dfe.2	ABCA5|23461
uc002jhw.1	uc002jhw.1	ABCA6|23460
uc002jhx.1	uc002jhx.1	ABCA6|23460
uc002jhy.2	uc002jhy.2	ABCA6|23460
uc002lqw.3	uc002lqw.3	ABCA7|10347
uc002lqy.2	uc002lqy.2	ABCA7|10347
uc010dsa.2	uc010dsa.2	ABCA7|10347
uc010dsb.1	uc010dsb.1	ABCA7|10347
uc010dsc.2	uc010dsc.2	ABCA7|10347
uc002jhp.2	uc002jhp.2	ABCA8|10351
uc002jhq.2	uc002jhq.2	ABCA8|10351
uc002jhr.2	uc002jhr.2	ABCA8|10351
uc002jhs.2	uc002jhs.2	ABCA8|10351
uc002jht.2	uc002jht.2	ABCA8|10351
uc010wqq.1	uc010wqq.1	ABCA8|10351
uc010wqr.1	uc010wqr.1	ABCA8|10351
uc002jhu.2	uc002jhu.2	ABCA9|10350
uc002jhv.2	uc002jhv.2	ABCA9|10350
uc010dez.2	uc010dez.2	ABCA9|10350
uc001htp.3	uc001htp.3	ABCB10|23456
uc002ueo.1	uc002ueo.1	ABCB11|8647
uc010zda.1	uc010zda.1	ABCB11|8647
uc010zdb.1	uc010zdb.1	ABCB11|8647
uc003uiz.1	uc003uiz.1	ABCB1|5243
uc003uja.1	uc003uja.1	ABCB1|5243
uc010lei.1	uc010lei.1	ABCB1|5243
uc011khc.1	uc011khc.1	ABCB1|5243
uc003uiv.1	uc003uiv.1	ABCB4|5244
uc003uiw.1	uc003uiw.1	ABCB4|5244
uc003uix.1	uc003uix.1	ABCB4|5244
uc003uiy.2	uc003uiy.2	ABCB4|5244
uc003suv.3	uc003suv.3	ABCB5|340273
uc003suw.3	uc003suw.3	ABCB5|340273
uc003sux.1	uc003sux.1	ABCB5|340273
uc010kuh.2	uc010kuh.2	ABCB5|340273
uc011jyi.1	uc011jyi.1	ABCB5|340273
uc002vkc.1	uc002vkc.1	ABCB6|10058
uc010fwe.1	uc010fwe.1	ABCB6|10058
uc010zku.1	uc010zku.1	ABCB6|10058
uc004ebz.2	uc004ebz.2	ABCB7|22
uc004eca.2	uc004eca.2	ABCB7|22
uc010nls.2	uc010nls.2	ABCB7|22
uc010nlt.2	uc010nlt.2	ABCB7|22
uc011mqn.1	uc011mqn.1	ABCB7|22
uc003wii.2	uc003wii.2	ABCB8|11194
uc003wij.3	uc003wij.3	ABCB8|11194
uc003wik.3	uc003wik.3	ABCB8|11194
uc003wil.3	uc003wil.3	ABCB8|11194
uc003wim.3	uc003wim.3	ABCB8|11194
uc010lpw.1	uc010lpw.1	ABCB8|11194
uc010lpx.2	uc010lpx.2	ABCB8|11194
uc011kvd.1	uc011kvd.1	ABCB8|11194
uc001udm.3	uc001udm.3	ABCB9|23457
uc001udo.3	uc001udo.3	ABCB9|23457
uc001udp.2	uc001udp.2	ABCB9|23457
uc001udq.2	uc001udq.2	ABCB9|23457
uc001udr.2	uc001udr.2	ABCB9|23457
uc009zxr.2	uc009zxr.2	ABCB9|23457
uc010tai.1	uc010tai.1	ABCB9|23457
uc010taj.1	uc010taj.1	ABCB9|23457
uc003ouy.1	uc003ouy.1	ABCC10|89845
uc003ouz.1	uc003ouz.1	ABCC10|89845
uc010jyo.1	uc010jyo.1	ABCC10|89845
uc002eff.1	uc002eff.1	ABCC11|85320
uc002efg.1	uc002efg.1	ABCC11|85320
uc002efh.1	uc002efh.1	ABCC11|85320
uc010cbg.1	uc010cbg.1	ABCC11|85320
uc010vgk.1	uc010vgk.1	ABCC11|85320
uc010vgl.1	uc010vgl.1	ABCC11|85320
uc002eey.1	uc002eey.1	ABCC12|94160
uc002eez.1	uc002eez.1	ABCC12|94160
uc002efa.1	uc002efa.1	ABCC12|94160
uc002efb.1	uc002efb.1	ABCC12|94160
uc002efc.1	uc002efc.1	ABCC12|94160
uc002efd.1	uc002efd.1	ABCC12|94160
uc002efe.1	uc002efe.1	ABCC12|94160
uc010vgj.1	uc010vgj.1	ABCC12|94160
uc002yjq.2	uc002yjq.2	ABCC13|150000
uc002yjr.2	uc002yjr.2	ABCC13|150000
uc002yjs.2	uc002yjs.2	ABCC13|150000
uc010gkx.2	uc010gkx.2	ABCC13|150000
uc002del.3	uc002del.3	ABCC1|4363
uc010bvi.2	uc010bvi.2	ABCC1|4363
uc010bvj.2	uc010bvj.2	ABCC1|4363
uc010bvk.2	uc010bvk.2	ABCC1|4363
uc010bvl.2	uc010bvl.2	ABCC1|4363
uc010bvm.2	uc010bvm.2	ABCC1|4363
uc010bvn.2	uc010bvn.2	ABCC1|4363
