Index	Var	Importance
50	PTB_4h	0.926355013550135
26	SRSF5_0h	0.777439024390244
32	U11_0h	0.715514905149051
19	SKIP_0h	0.71029810298103
60	SKIP_4h	0.696646341463415
82	U6ATAC_4h	0.69590108401084
73	U11_4h	0.692615176151761
6	NOVA1_0h	0.684925474254743
28	SRSF9_0h	0.673136856368564
24	SRSF3_0h	0.659281842818428
42	CA150_4h	0.651558265582656
9	PTB_0h	0.648238482384824
41	U6ATAC_0h	0.646544715447154
5	MAGOH_0h	0.641361788617886
76	U2AF1_4h	0.629573170731707
11	RBM17_0h	0.626863143631436
62	SRM160_4h	0.621307588075881
49	PSF_4h	0.620663956639566
33	U12_0h	0.609518970189702
23	SRSF10_0h	0.594105691056911
38	U4ATAC_0h	0.593529810298103
4	FBP11_0h	0.573814363143631
39	U5_0h	0.567310298102981
52	RBM17_4h	0.56659891598916
40	U6_0h	0.56639566395664
31	TRA2B_0h	0.562161246612466
16	SC35_0h	0.558468834688347
44	ESRP1_4h	0.551355013550135
79	U4ATAC_4h	0.546544715447154
72	TRA2B_4h	0.54590108401084
21	SRM160_0h	0.540819783197832
65	SRSF3_4h	0.538279132791328
8	PSF_0h	0.528014905149051
7	PRP8_0h	0.522831978319783
35	U2AF1_0h	0.522222222222222
63	SRSF1_4h	0.521951219512195
10	RAVER1_0h	0.511551490514905
17	sf3btv1_0h	0.507655826558266
56	SAM68TV1_4h	0.507046070460705
48	PRP8_4h	0.502608401084011
54	RBM3_4h	0.501388888888889
14	RBM45_0h	0.499932249322493
71	TRA2A_4h	0.490481029810298
68	SRSF6_4h	0.490345528455285
22	SRSF1_0h	0.486415989159892
1	CA150_0h	0.476050135501355
46	MAGOH_4h	0.471443089430894
27	SRSF6_0h	0.467140921409214
29	TIA1_0h	0.466531165311653
69	SRSF9_4h	0.461212737127371
15	SAM68TV1_0h	0.461077235772358
18	SF3BTV2_0h	0.456808943089431
81	U6_4h	0.455284552845528
37	U4_0h	0.454776422764228
64	SRSF10_4h	0.446815718157182
3	ESRP1_0h	0.439668021680217
30	TRA2A_0h	0.430691056910569
43	CUGBP_4h	0.425914634146341
12	RBM22_0h	0.42479674796748
13	RBM3_0h	0.421138211382114
67	SRSF5_4h	0.419512195121951
57	SC35_4h	0.414905149051491
80	U5_4h	0.409180216802168
77	U2AF2_4h	0.404166666666667
2	CUGBP_0h	0.400067750677507
47	NOVA1_4h	0.394579945799458
36	U2AF2_0h	0.393021680216802
78	U4_4h	0.386483739837398
70	TIA1_4h	0.383841463414634
61	SND1_4h	0.382520325203252
20	SND1_0h	0.379539295392954
55	RBM45_4h	0.378760162601626
53	RBM22_4h	0.369376693766938
66	SRSF4_4h	0.363617886178862
25	SRSF4_0h	0.333638211382114
74	U12_4h	0.332046070460705
45	FBP11_4h	0.315447154471545
51	RAVER1_4h	0.309112466124661
58	sf3btv1_4h	0.304911924119241
59	SF3BTV2_4h	0.289024390243902
75	U2_4h	0.282384823848238
34	U2_0h	0.269037940379404
